target,book,chapter,reference,center_layer,alpha,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,paired_rescue
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,28,64,0.4,0.5,0.1,0.5,0.4,3 chg / +1 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,28,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,28,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,28,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,28,64,0.4,0.4,0,0.5,0.4,0 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,28,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,28,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,28,64,0.4,0.3,-0.1,0.4,0.4,1 chg / -1 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,28,64,0.4,0.4,0,0.4,0.5,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,28,64,0.4,0.3,-0.1,0.4,0.4,1 chg / -1 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,28,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,28,64,0.4,0.4,0,0.5,0.4,0 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,28,64,0.4,0.4,0,0.3,0.4,0 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,28,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,28,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,28,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,28,96,0.4,0.6,0.2,0,0.3,4 chg / +2 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,28,96,0.4,0.1,-0.3,0.5,0.4,7 chg / -3 net,no
chapter_act_07,Acts,7,Acts 7,28,96,0.4,0.5,0.1,0.6,0.4,3 chg / +1 net,no
chapter_act_11,Acts,11,Acts 11,28,96,0.4,0.2,-0.2,0.3,0.3,5 chg / -2 net,no
chapter_act_16,Acts,16,Acts 16,28,96,0.4,0.2,-0.2,0.5,0.4,4 chg / -2 net,no
chapter_act_27,Acts,27,Acts 27,28,96,0.4,0.6,0.2,0.4,0.4,4 chg / +2 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,28,96,0.4,0,-0.4,0.5,0.4,8 chg / -4 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,28,96,0.4,0,-0.4,0.5,0.5,9 chg / -4 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,28,96,0.4,0,-0.4,0.4,0.4,8 chg / -4 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,28,96,0.4,0,-0.4,0.3,0.5,8 chg / -4 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,28,96,0.4,0,-0.4,0.6,0.3,10 chg / -4 net,no
chapter_jdg_07,Judges,7,Judges 7,28,96,0.4,0.4,0,0.6,0.4,0 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,28,96,0.4,0.4,0,0.5,0.3,0 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,28,96,0.4,0.6,0.2,0.6,0.4,4 chg / +2 net,no
chapter_num_22,Numbers,22,Numbers 22,28,96,0.4,0.6,0.2,0.6,0.4,2 chg / +2 net,no
chapter_num_27,Numbers,27,Numbers 27,28,96,0.4,0.6,0.2,0.5,0.4,2 chg / +2 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,29,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,29,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,29,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,29,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,29,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,29,16,0.4,0.4,0,0.4,0.3,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,29,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_jdg_07,Judges,7,Judges 7,29,24,0.4,0.4,0,0.4,0.3,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,29,24,0.4,0.4,0,0.4,0.3,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,29,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,29,24,0.4,0.4,0,0.4,0.3,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
